Pays;Continent;Zone
Algeria;Afrique;Northern Africa
Angola;Afrique;Middle Africa
Benin;Afrique;Western Africa
Botswana;Afrique;Southern Africa
Burkina Faso;Afrique;Western Africa
Burundi;Afrique;Eastern Africa
Cabo Verde;Afrique;Western Africa
Cameroon;Afrique;Middle Africa
Central African Republic;Afrique;Middle Africa
Chad;Afrique;Middle Africa
Comoros;Afrique;Eastern Africa
Congo (Brazzaville);Afrique;Middle Africa
Congo (Kinshasa);Afrique;Middle Africa
Cote d'Ivoire;Afrique;Western Africa
Djibouti;Afrique;Eastern Africa
Egypt;Afrique;Northern Africa
Equatorial Guinea;Afrique;Middle Africa
Eritrea;Afrique;Eastern Africa
Eswatini;Afrique;Southern Africa
Ethiopia;Afrique;Eastern Africa
Gabon;Afrique;Middle Africa
Gambia;Afrique;Western Africa
Ghana;Afrique;Western Africa
Guinea;Afrique;Western Africa
Guinea-Bissau;Afrique;Western Africa
Kenya;Afrique;Eastern Africa
Lesotho;Afrique;Southern Africa
Liberia;Afrique;Western Africa
Libya;Afrique;Northern Africa
Madagascar;Afrique;Eastern Africa
Malawi;Afrique;Eastern Africa
Mali;Afrique;Western Africa
Mauritania;Afrique;Western Africa
Mauritius;Afrique;Eastern Africa
Morocco;Afrique;Northern Africa
Mozambique;Afrique;Eastern Africa
Namibia;Afrique;Southern Africa
Niger;Afrique;Western Africa
Nigeria;Afrique;Western Africa
Rwanda;Afrique;Eastern Africa
Sao Tome and Principe;Afrique;Middle Africa
Senegal;Afrique;Western Africa
Seychelles;Afrique;Eastern Africa
Sierra Leone;Afrique;Western Africa
Somalia;Afrique;Eastern Africa
South Africa;Afrique;Southern Africa
South Sudan;Afrique;Eastern Africa
Sudan;Afrique;Northern Africa
Tanzania;Afrique;Eastern Africa
Togo;Afrique;Western Africa
Tunisia;Afrique;Northern Africa
Uganda;Afrique;Eastern Africa
Zambia;Afrique;Eastern Africa
Zimbabwe;Afrique;Eastern Africa
